Trajectories
100
,,Patient T:T10,,,Patient T:SACR,,,Patient T:NAVE,,,Patient T:XYPH,,,Patient T:STRN,,,Patient T:LASIS,,,Patient T:RASIS,,,Patient T:LPSIS,,,Patient T:RPSIS,,,Patient T:LGTRO,,,Patient T:FLTHI,,,Patient T:LLEK,,,Patient T:LATI,,,Patient T:LLM,,,Patient T:LHEE,,,Patient T:LTOE,,,Patient T:LMT5,,,Patient T:RGTRO,,,Patient T:FRTHI,,,Patient T:RLEK,,,Patient T:RATI,,,Patient T:RLM,,,Patient T:RHEE,,,Patient T:RTOE,,,Patient T:RMT5,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-74.9148,104.281,1239.43,-70.1251,101.91,1151.05,-20.9341,-222.531,1096.74,-52.482,-215.783,1282.74,-70.6455,-220.513,1385.98,141.068,-95.2636,1135.74,-195.918,-109.142,1042.27,33.9814,109.716,1142.52,-137.742,94.4415,1094.48,152.389,-80.3676,1078.72,240.376,-112.718,828.265,276.286,-108.28,581.82,290.438,11.0631,453.049,243.736,236.153,248.535,200.587,325.722,288.793,138.003,162.854,54.4165,219.482,182.52,54.2573,-165.071,-100.588,992.994,-240.975,-151.32,394.672,-274.225,-98.0668,275.727,-235.971,-57.7201,178.212,-265.033,-15.5027,41.5156,-190.637,44.3123,52.6422,-171.789,-204.3,20.3392,-261.203,-170.653,30.4275
2,0,-76.7709,102.6,1239.27,-71.307,101.978,1152.23,-20.1225,-222.028,1096.14,-51.3329,-216.209,1282.35,-69.716,-221.56,1385.25,136.149,-92.8699,1134.52,-195.248,-109.336,1041.63,33.0215,110.767,1143.6,-138.7,94.5279,1094.99,151.956,-79.2317,1080.5,240.956,-116.537,832.181,278.623,-119.419,585.949,292.094,-0.347001,457.073,244.584,225.179,251.15,200.13,318.103,284.866,143.778,139.275,61.5827,224.297,160.257,61.1439,-164.478,-99.1606,993.145,-241.855,-147.049,394.522,-275.173,-93.5285,275.772,-236.459,-52.4328,178.334,-265.327,-10.085,41.7851,-191.007,49.7206,53.2528,-172.161,-198.468,20.3584,-261.465,-165.1,30.1063
3,0,-78.3235,101.254,1239.31,-72.5155,102.138,1152.88,-19.0513,-221.559,1095.52,-50.1509,-216.72,1281.92,-68.8044,-222.288,1384.73,135.695,-91.214,1135.44,-194.496,-109.502,1041.08,31.8632,111.919,1144.39,-139.894,94.8649,1095.82,152.205,-77.9462,1082.06,241.29,-119.86,836.191,280.341,-129.997,590.092,293.061,-11.4293,461.108,244.82,211.938,252.212,198.266,307.933,280.232,149.26,115.885,67.4013,229.137,137.914,66.412,-163.888,-98.4337,992.888,-242.557,-142.754,394.266,-275.7,-89.1013,275.717,-236.939,-47.357,178.417,-265.426,-4.72335,41.7651,-191.214,55.5323,54.5456,-174.454,-189.866,21.4002,-261.367,-159.544,29.8819
4,0,-80.0002,100.623,1239.92,-73.6654,102.762,1153.64,-18.185,-220.633,1094.63,-48.606,-217.381,1281.29,-67.4062,-223.385,1384.08,135.608,-89.7988,1136.12,-193.989,-109.564,1040.83,31.0455,113.013,1145.05,-140.666,95.4999,1096.45,151.793,-76.4028,1083.63,241.815,-122.628,840.26,282.288,-139.718,594.803,293.601,-22.5013,465.082,244.705,197.901,251.408,196.415,294.773,274.655,156.055,90.3715,69.8819,234.511,115.46,70.0215,-163.59,-97.6628,992.647,-243.019,-138.633,394.049,-276.447,-84.546,275.64,-237.525,-42.258,178.414,-265.535,0.73178,41.8546,-191.522,61.184,54.998,-174.639,-184.061,21.3464,-261.216,-154.217,29.5878
5,0,-81.7532,101.23,1241.18,-74.8928,103.476,1154.74,-17.4794,-219.635,1093.9,-46.9863,-217.677,1280.78,-65.8842,-224.273,1383.6,135.644,-87.9813,1136.78,-193.722,-109.383,1040.52,30.0496,114.565,1146.21,-141.366,96.1161,1097.15,151.389,-74.2999,1084.94,242.076,-125.078,844.6,282.967,-148.874,598.847,294.271,-33.2218,468.9,244.442,183.148,249.229,194.479,279.991,267.398,161.678,67.1308,70.5229,240,92.2179,72.5985,-163.4,-96.6012,992.619,-243.064,-134.277,393.914,-277.098,-79.7095,275.493,-238.075,-37.2158,178.458,-265.936,6.50419,41.9173,-191.623,66.7601,55.3893,-174.416,-179.011,21.26,-261.073,-148.861,29.2239
6,0,-83.6657,102.22,1242.86,-76.1117,104.599,1156,-16.3927,-218.256,1093.29,-45.1572,-218.336,1280.02,-64.2826,-225.047,1382.94,136.056,-86.3027,1137.34,-193.289,-108.816,1040.34,29.2299,115.976,1147.26,-142.032,96.8166,1097.98,150.975,-72.6626,1086.35,242.669,-127.378,848.459,283.06,-157.369,603.181,294.705,-43.6416,472.182,245.693,168.148,246.57,191.496,264.249,258.008,167.079,42.3566,68.9557,246.564,67.342,74.9142,-163.062,-95.5428,992.469,-243.502,-129.204,393.721,-277.161,-75.0359,275.261,-238.134,-31.8559,178.574,-265.9,12.0068,42.0614,-192.136,72.296,55.5331,-174.334,-173.665,21.1187,-260.902,-143.191,29.116
7,0,-84.6374,102.502,1244.24,-76.9933,105.926,1157.43,-15.6227,-217.062,1092.81,-43.2765,-218.906,1279.06,-62.3924,-226.23,1382.2,136.899,-84.8415,1137.84,-192.467,-108.517,1040.53,28.398,117.334,1148.37,-142.567,97.5374,1098.81,150.726,-70.4748,1087.68,242.788,-128.867,852.781,281.422,-166.919,606.619,295.108,-53.8517,474.32,244.606,151.36,241.578,188.744,247.934,245.721,173.293,15.5938,68.1615,252.596,40.754,77.6539,-162.662,-94.3125,992.345,-243.301,-124.726,393.5,-277.731,-69.8559,275.345,-238.71,-26.5557,178.619,-266.025,18.0205,42.242,-192.175,78.005,56.1911,-174.651,-167.264,21.232,-261.178,-137.433,29.0596
8,0,-85.5321,102.886,1245.76,-77.9055,106.916,1158.7,-14.4439,-215.724,1092.47,-41.4038,-219.432,1278.08,-60.3647,-227.357,1381.34,137.451,-82.8941,1138.27,-191.817,-108.307,1040.67,27.9651,118.841,1149.32,-142.942,98.2925,1099.67,150.624,-68.3688,1088.96,242.721,-129.503,856.966,282.197,-172.358,610.996,295.247,-63.5085,475.711,243.37,133.869,235.066,185.671,230.094,230.834,180.252,-13.8549,68.9916,259.66,12.9724,80.4235,-162.185,-93.0858,992.354,-243.131,-119.337,393.396,-277.935,-64.4447,275.403,-239.046,-20.9456,178.521,-266.164,23.6828,42.4734,-192.309,84.0052,56.0371,-174.638,-161.037,21.3486,-261.269,-131.612,28.9892
9,0,-86.3871,102.863,1247.27,-78.3789,107.681,1160.26,-13.5203,-214.186,1092.2,-39.3769,-220.004,1276.99,-58.3986,-228.173,1380.33,138.227,-80.9996,1138.78,-192.685,-105.392,1040.84,27.2687,120.487,1150.83,-143.127,99.3466,1100.63,150.556,-66.3556,1090.22,242.571,-129.574,860.813,282.966,-176.327,615.053,294.668,-73.0162,476.186,241.561,115.067,226.406,182.126,210.721,214.442,186.931,-43.9526,69.4654,264.678,-14.8892,82.8054,-161.725,-91.6499,992.504,-243.131,-113.968,393.387,-278.063,-58.7487,275.56,-238.945,-14.8182,178.66,-266.064,29.645,42.6321,-192.251,90.0039,56.6422,-174.035,-157.009,21.1761,-261.26,-125.587,29.1656
10,0,-86.914,102.716,1249.02,-78.8203,108.671,1161.65,-12.2534,-212.801,1092.1,-37.1268,-220.093,1275.69,-56.1711,-228.984,1379.28,139.087,-79.0827,1139.13,-192.922,-102.932,1041.33,26.7243,122.087,1152.13,-143.335,100.418,1101.59,150.799,-64.2416,1091.29,242.672,-129.42,863.728,284.541,-176.685,619.059,293.901,-81.947,475.457,240.902,94.8593,218.094,178.989,188.905,197.266,193.271,-74.2926,69.3784,269.068,-42.9528,84.0128,-161.207,-90.2083,992.697,-243.387,-109.022,393.138,-278.338,-52.8129,275.762,-239.132,-8.69623,178.919,-266.201,35.6935,42.6943,-192.414,95.8773,56.251,-173.544,-151.846,20.8665,-261.234,-119.612,29.2406
11,0,-87.1557,102.347,1250.79,-78.8216,109.213,1162.43,-11.1663,-211.42,1091.95,-34.9508,-220.422,1274.02,-53.8776,-229.935,1378.21,140.543,-77.6149,1139.6,-192.424,-101.629,1041.77,26.4822,123.358,1153.05,-143.254,101.22,1102.68,150.989,-61.9073,1092.4,242.647,-129.141,866.1,285.094,-179.171,621.648,292.37,-91.079,473.57,240.342,73.5916,208.411,176.622,165.583,180.307,198.325,-104.817,68.9951,273.971,-71.6499,83.5648,-160.638,-88.657,992.806,-243.3,-103.31,393.009,-278.51,-46.8469,276.138,-239.543,-2.70618,179.017,-266.002,41.6432,42.791,-192.297,101.884,56.7823,-173.584,-145.782,21.0333,-261.172,-113.57,29.3955
12,0,-87.0053,102.089,1252.39,-78.7724,109.896,1163.75,-9.844,-209.913,1091.92,-32.9254,-220.072,1272.64,-51.3689,-231.017,1377,141.379,-75.7834,1140.04,-191.555,-101.066,1041.93,26.1718,125.147,1154.62,-143.212,102.25,1103.87,150.854,-59.8338,1093.69,242.721,-128.179,868.32,285.622,-181.421,623.302,290.301,-99.9178,470.69,238.503,50.721,196.683,175.03,140.586,163.539,201.661,-135.405,68.2465,275.922,-99.9441,82.7,-160.052,-87.2449,992.768,-242.785,-97.9082,392.975,-278.25,-41.2562,276.234,-239.379,3.15621,179.022,-266.32,47.7565,42.6143,-192.036,108.488,56.4981,-173.656,-139.577,20.996,-261.105,-107.503,29.7223
13,0,-87.1388,102.172,1254,-78.2815,109.905,1164.62,-8.77942,-208.51,1091.81,-30.622,-220.242,1271.01,-48.7892,-232.105,1375.74,142.283,-74.0594,1140.41,-190.794,-99.5531,1042.45,26.0491,126.238,1155.81,-142.903,103.023,1104.76,150.845,-58.1894,1094.66,242.547,-127.29,870.518,286.535,-182.794,624.561,288.092,-108.688,466.873,236.345,26.356,185.455,174.848,114.508,146.527,203.139,-166.704,68.2937,277.033,-129.7,81.5058,-159.33,-85.9822,992.825,-242.895,-92.2612,392.707,-278.525,-35.0981,276.307,-239.349,9.80864,179.219,-266.02,53.7567,42.6859,-192.383,114.276,56.7106,-173.611,-133.516,21.3158,-261.205,-101.412,29.8108
14,0,-85.7597,100.616,1254.4,-77.5159,109.551,1164.9,-7.42603,-207.376,1091.67,-28.2987,-219.98,1269.91,-46.119,-233.054,1374.66,142.583,-72.0044,1140.46,-189.898,-98.8938,1042.32,26.2047,127.165,1156.76,-142.853,103.747,1105.97,151.177,-56.3542,1095.47,241.999,-126.279,871.742,286.088,-182.988,625.585,285.566,-117.496,461.975,236.435,1.59454,174.182,175.151,87.8899,130.076,201.396,-197.599,69.5352,276.368,-160.783,80.3458,-158.725,-84.6194,993.071,-242.61,-86.814,392.544,-278.04,-28.9771,276.236,-239.385,15.7185,179.284,-266.261,59.8845,42.753,-192.259,120.164,56.7356,-173.487,-127.672,21.4609,-261.225,-95.5452,29.9729
15,0,-84.6806,99.6538,1255.18,-76.8907,109.544,1166.19,-6.2126,-206.42,1091.3,-26.2679,-219.997,1268.43,-43.055,-233.991,1373.28,143.524,-70.6615,1140.26,-188.353,-98.8943,1042.12,26.2047,128.553,1158.14,-142.53,104.218,1106.93,151.479,-54.8894,1096.1,241.454,-125.186,872.664,285.024,-182.434,625.849,283.023,-126.244,456.414,236.265,-23.6463,163.3,176.488,60.7147,113.737,198.768,-229.269,70.678,276.051,-192.19,79.3398,-158.199,-83.5048,993.229,-242.579,-81.595,392.193,-278.246,-23.2803,276.189,-239.23,21.7341,179.449,-266.001,65.6078,42.9345,-192.231,126.295,56.6843,-173.532,-121.652,21.4999,-261.052,-89.6929,30.1599
16,0,-83.8895,98.8975,1256.05,-76.3083,109.668,1167.01,-4.66179,-205.543,1091.03,-23.9297,-219.729,1267.1,-40.0938,-235.403,1371.95,145.015,-69.5969,1140.01,-186.931,-98.9465,1042.17,26.5977,129.149,1159.03,-141.87,104.432,1107.78,151.787,-53.7151,1096.41,240.962,-123.95,873.132,284.666,-180.282,626.846,280.33,-135.114,450.425,236.028,-49.5245,153.057,178.274,33.2823,98.7728,193.406,-259.069,72.7888,272.649,-223.864,79.4108,-157.35,-82.4784,993.209,-241.943,-76.4327,391.854,-277.942,-17.7732,276.17,-239.192,27.8028,179.511,-266.065,71.5382,43.1234,-192.432,132.144,56.9694,-173.364,-115.658,21.5121,-261.014,-83.5905,30.1661
17,0,-82.826,98.234,1256.86,-75.7341,109.693,1167.67,-3.29879,-205.056,1090.5,-21.6024,-219.81,1265.87,-36.9697,-236.569,1370.54,146.731,-69.0215,1139.71,-185.703,-99.0913,1042.76,26.8689,129.758,1159.82,-141.498,104.446,1108.66,151.95,-52.918,1096.45,240.356,-122.618,872.763,272.222,-179.358,623.06,277.551,-143.846,443.872,235.51,-75.3708,143.821,179.77,5.70742,84.4154,187.929,-288.54,75.4489,268.423,-254.76,79.4971,-156.458,-81.8158,993.056,-241.974,-71.4515,391.459,-277.927,-12.2205,276.288,-238.978,33.6867,179.682,-266.014,77.5163,43.4859,-192.212,138.149,56.9451,-173.259,-109.846,21.5442,-260.852,-77.7993,30.3486
18,0,-81.9073,97.3687,1257.46,-74.999,109.563,1168.65,-1.66473,-204.565,1089.77,-19.0471,-219.743,1264.49,-33.7557,-237.511,1369.63,148.215,-68.2449,1138.71,-184.581,-98.8973,1043.25,27.7793,129.756,1160.09,-142.093,104.762,1110.78,152.91,-51.9411,1096.25,239.701,-121.528,871.768,265.084,-177.311,619.228,274.112,-152.87,437.909,234.321,-100.352,135.53,179.811,-21.5209,71.9707,182.121,-315.83,78.8276,263.217,-284.046,79.7706,-155.68,-81.2122,992.908,-241.487,-66.5978,390.967,-277.732,-6.50754,276.476,-239.237,39.0906,179.717,-265.948,83.556,43.684,-192.171,143.753,57.3028,-173.276,-103.855,21.5717,-260.958,-71.8154,30.3247
19,0,-80.3355,96.5102,1257.79,-73.9168,108.941,1169.3,-0.202669,-204.388,1088.8,-16.5666,-219.859,1263.39,-30.4892,-238.726,1368.45,149.36,-67.5773,1137.74,-183.408,-98.3494,1043.96,28.6753,129.86,1160.4,-141.058,104.441,1111.38,154.08,-51.4221,1095.58,239.378,-120.256,869.912,256.659,-173.289,615.977,270.337,-161.842,434.401,232.579,-124.182,128.413,178.64,-47.6861,61.7101,176.531,-341.277,82.7043,258.386,-310.715,80.968,-154.893,-80.4349,992.811,-241.344,-61.9947,390.468,-277.945,-1.38966,276.43,-238.664,45.3664,180.016,-265.915,89.1027,43.607,-192.296,149.723,57.2541,-173.321,-98.1526,21.4551,-260.786,-66.1071,30.3718
20,0,-78.4397,95.4851,1258.02,-72.5065,108.451,1169.79,1.48034,-204.354,1087.73,-13.8599,-220.242,1262.18,-26.6886,-239.969,1367.23,151.402,-67.5814,1136.35,-181.791,-98.8382,1044.24,30.1171,129.867,1160.45,-139.86,104.211,1111.78,155.137,-51.4467,1094.46,239.243,-119.154,867.338,249.166,-169.96,613.157,266.209,-170.693,431.325,230.289,-146.088,122.696,175.948,-72.15,52.9953,172.451,-364.874,86.7617,253.088,-334.502,83.2036,-154.071,-79.808,992.905,-240.997,-57.3446,390.112,-277.565,3.69283,276.22,-239.115,50.7047,179.89,-266.015,94.8625,43.5886,-192.352,155.493,57.5653,-173.197,-92.4009,21.5929,-260.842,-60.3205,30.3359
21,0,-76.6731,94.9258,1259.06,-70.4195,107.685,1169.8,2.96604,-204.29,1086.7,-11.0027,-220.988,1261.16,-23.0473,-241.085,1366.3,153.397,-68.1487,1134.84,-180.66,-98.5271,1044.65,31.73,129.544,1160.24,-138.434,104.082,1112.31,156.903,-51.5568,1092.88,238.986,-117.962,864.205,243.201,-168.65,610.665,264.687,-171.051,429.8,227.151,-165.196,118.08,172.376,-94.1851,46.1646,169.896,-385.283,90.6045,247.874,-356.428,84.2314,-152.874,-79.9865,992.591,-240.692,-52.779,389.453,-277.956,8.77934,276.054,-238.979,56.4469,179.994,-266.026,100.609,43.6216,-192.361,161.337,57.8782,-173.018,-86.4012,21.5944,-260.934,-54.5045,30.3716
22,0,-74.3659,94.7994,1259.84,-69.0937,107.355,1170.68,4.5978,-204.559,1085.52,-7.9591,-221.577,1260.03,-19.2033,-242.168,1365.23,155.037,-68.5849,1132.81,-178.897,-98.6424,1044.8,34.0379,128.626,1159.4,-136.563,103.63,1112.45,158.464,-52.3905,1090.81,239,-117.201,860.546,237.758,-168.199,607.366,260.978,-172.094,427.905,223.213,-181.3,114.159,166.89,-113.524,39.9366,168.629,-403.177,93.9487,249.349,-372.696,86.962,-152.036,-79.9162,992.318,-240.913,-48.1858,389.148,-277.914,13.9082,275.867,-239.169,62.0416,180.201,-266.189,106.41,43.6554,-192.388,167.077,57.9835,-172.949,-80.664,21.4478,-260.89,-48.7279,30.322
23,0,-71.2909,94.2392,1260.13,-66.6191,106.603,1170.52,5.91597,-205.132,1084.12,-4.80675,-222.803,1259.02,-15.0289,-243.391,1364.45,157.457,-69.8141,1130.46,-177.649,-98.5925,1044.94,36.6828,127.781,1158.49,-134.33,103.434,1112.66,160.687,-53.1818,1088.32,239.546,-117.519,856.402,232.867,-167.974,604.308,256.078,-173.886,425.089,218.942,-193.535,111.006,159.885,-130.245,34.7583,168.778,-417.326,95.8503,249.207,-385.654,88.4557,-150.939,-79.9244,992.034,-240.573,-43.1595,389.005,-278.215,19.259,275.858,-239.499,67.5178,180.11,-266.248,111.974,43.6746,-192.562,172.801,58.2813,-173.149,-74.8539,21.6357,-260.823,-42.9884,30.424
24,0,-67.5577,93.3572,1259.93,-63.4867,105.843,1169.92,7.36435,-205.946,1082.6,-1.54475,-223.638,1258.17,-10.8372,-244.081,1363.64,159.762,-71.1638,1127.77,-176.007,-99.1943,1044.85,40.3995,125.836,1156.11,-131.733,102.977,1112.33,162.63,-54.5705,1085.38,239.806,-117.725,852.072,229.503,-168.474,600.179,252.718,-177.166,422.194,214.87,-202.406,106.885,149.891,-144.38,29.0373,168.964,-428.718,96.7161,248.701,-395.089,88.1921,-149.735,-80.4706,991.564,-241.078,-38.5665,388.721,-278.581,25.0953,275.898,-239.491,73.3657,180.076,-266.196,117.675,43.7738,-192.565,178.631,58.3362,-173.286,-68.9534,21.6939,-260.799,-37.2263,30.5225
25,0,-63.4137,92.21,1259.31,-60.1939,104.895,1169.35,8.90922,-206.986,1081.14,2.01228,-224.973,1257.36,-6.40769,-245.18,1362.83,162.524,-73.5004,1124.76,-174.482,-99.4925,1045.12,44.4427,123.153,1153.81,-129.321,102.514,1112.26,165.076,-56.4117,1082.06,239.637,-118.565,847.503,227.64,-169.803,596.066,247.593,-181.099,419.164,209.159,-208.738,103.179,140.755,-154.364,24.3382,169.726,-437.238,96.0249,248.274,-400.627,86.3363,-149.016,-80.7063,991.348,-241.669,-33.8136,387.982,-278.832,30.4729,275.823,-239.99,79.2384,180.252,-266.311,124.106,43.9881,-192.582,184.319,58.3883,-173.096,-63.3731,21.7286,-260.678,-31.4531,30.614
26,0,-59.104,91.6771,1258.96,-56.6916,103.867,1168.41,10.2871,-208.206,1079.55,5.75573,-226.628,1256.53,-1.8543,-246.071,1362.19,165.545,-75.5913,1121.26,-173.116,-99.8791,1045.46,48.1299,121.037,1151.72,-126.579,101.809,1112.1,167.887,-58.7719,1078.24,238.89,-119.639,842.436,226.09,-170.132,591.654,242.283,-182.876,415.448,200.002,-213.04,96.6982,131.469,-160.845,19.7485,169.7,-441.946,93.4498,246.976,-403.047,83.2979,-148.113,-81.6226,991.143,-241.822,-29.4263,387.301,-279.333,36.0507,275.814,-240.072,84.4636,180.241,-266.302,129.62,44.3081,-192.78,190.185,58.8199,-173.563,-57.5378,21.8549,-260.931,-25.3482,30.497
27,0,-53.9225,90.5773,1257.62,-52.7619,102.618,1167.36,11.4817,-209.744,1077.96,9.55776,-228.181,1255.99,2.70669,-246.59,1361.63,168.675,-78.4794,1117.34,-171.571,-100.589,1045.82,52.0865,118.942,1149.12,-123.379,100.773,1111.66,169.999,-61.7953,1074.26,237.622,-121.03,836.933,224.223,-170.271,586.902,237.656,-183.807,410.814,194.716,-214.203,93.6672,125.894,-162.052,19.7763,170.038,-442.129,88.3704,242.974,-403.917,80.0175,-147.316,-82.6201,991.08,-242.544,-24.9672,386.552,-279.842,41.2422,275.706,-240.359,90.4356,180.385,-266.438,135.628,44.3126,-192.624,196.183,58.8791,-173.822,-50.9046,22.3243,-260.958,-19.6244,30.5831
28,0,-48.3269,89.4716,1256.23,-48.7337,101.04,1166.09,12.7004,-211.881,1076.08,13.3717,-230.022,1255.56,7.62614,-247.267,1361.4,171.581,-81.6278,1113.08,-170.503,-100.934,1046.29,55.9578,116.489,1146.62,-119.809,99.6887,1111.27,172.058,-64.8261,1069.97,236.442,-123.101,831.698,221.569,-169.8,581.893,233.47,-183.406,405.471,188.994,-212.85,88.602,125.067,-157.469,21.6015,158.345,-443.175,78.7496,235.897,-403.377,74.4407,-146.877,-83.9793,991.04,-243.642,-20.3294,385.972,-280.249,47.1617,275.679,-240.653,96.5299,180.563,-266.234,141.473,44.4001,-192.681,201.943,59.3613,-173.956,-45.0007,22.3112,-261.131,-13.6059,30.6102
29,0,-41.877,87.7031,1254.11,-44.1529,99.163,1164.4,13.8079,-214.046,1074.44,17.217,-232.404,1255.16,12.5882,-248.062,1361.23,175.536,-86.0392,1108.81,-169.608,-101.251,1047.35,60.2348,113.654,1143.62,-116.341,98.3778,1110.86,174.377,-68.6404,1065.96,235.001,-125.16,825.624,218.566,-169.76,575.853,229.381,-182.889,399.289,183.361,-209.667,83.5301,124.133,-152.581,21.8504,148.37,-439.907,67.5917,226.926,-401.227,68.5484,-146.041,-85.5347,991.047,-244.668,-15.5343,385.515,-280.913,52.8791,275.918,-240.858,102.099,180.586,-266.449,147.489,44.3709,-192.631,207.759,59.6541,-174.033,-39.052,22.3446,-261.131,-7.65915,30.7224
30,0,-36.0999,87.0993,1252.69,-39.5653,97.2087,1163.06,14.8981,-216.732,1072.75,21.1162,-234.789,1255.27,17.7056,-248.695,1361.21,177.273,-89.3159,1104.16,-169.37,-101.407,1049.01,64.7845,110.711,1140.59,-112.687,96.8172,1110.36,176.729,-73.1313,1061.6,233.893,-127.443,819.195,215.383,-170.017,569.582,225.237,-182.674,392.436,182.221,-207.855,80.8654,123.312,-148.126,22.0414,138.708,-434.642,57.2331,218.664,-399.849,61.9751,-145.59,-86.7322,991.289,-245.261,-11.058,384.352,-281.389,58.6393,276.127,-241.235,108.336,180.734,-266.365,153.412,44.3839,-192.725,213.845,59.6603,-174.061,-33.3332,22.3916,-261.415,-1.67772,30.7602
31,0,-29.4193,85.3307,1249.98,-35.4116,95.7253,1162.1,16.1454,-219.328,1071.21,24.8803,-237.338,1255.53,22.8111,-249.477,1361.48,180.15,-93.8917,1099.7,-167.012,-104.718,1050.51,68.9693,107.889,1138.14,-109.042,95.5127,1110.15,178.91,-77.3876,1057.79,232.897,-130.063,812.391,212.685,-170.845,563.322,220.829,-182.316,385.928,180.943,-208.646,79.4555,123.014,-144.64,23.6566,137.839,-436.183,43.8593,212.649,-399.568,52.5519,-144.749,-88.5691,991.289,-245.681,-6.19315,383.749,-281.613,64.4046,276.592,-241.338,114.255,180.976,-266.412,159.551,44.2683,-192.861,219.74,60.1965,-174.345,-27.2786,22.4641,-261.849,4.24211,30.8292
32,0,-22.8508,84.0187,1246.9,-31.666,94.4536,1161.54,17.8104,-222.144,1069.54,28.6568,-239.963,1255.88,27.961,-250.292,1361.68,182.359,-97.3635,1095.98,-163.932,-107.548,1050.67,72.6129,105.64,1136.85,-105.679,94.1964,1109.94,181.091,-80.8748,1054.45,232.004,-132.565,806.261,210.452,-171.957,557.596,217.391,-182.7,380.089,180.408,-207.607,79.3317,123.068,-140.795,24.5288,140.067,-433.86,34.9527,220.326,-397.761,46.4003,-144.039,-90.3356,991.743,-245.389,-1.27635,382.698,-281.34,70.7844,276.903,-241.067,120.358,181.135,-266.364,165.28,44.4129,-192.644,225.57,60.1153,-174.305,-21.2899,22.4919,-261.868,10.6077,31.1773
33,0,-16.9785,83.288,1244.42,-27.9335,93.2756,1160.43,19.5371,-224.68,1068.16,32.4394,-242.597,1256.45,33.3429,-251.089,1362.26,184.768,-99.9662,1092.85,-160.277,-110.653,1051.38,74.0961,104.269,1137.8,-103.422,92.558,1110.08,182.069,-83.1572,1052.89,230.581,-135.383,803.172,208.482,-173.864,553.783,218.197,-183.542,375.91,180.331,-204.251,80.1756,123.495,-136.359,24.966,141.1,-428.335,37.5278,220.723,-392.175,47.4456,-143.087,-92.1329,992.845,-244.913,2.98782,382.359,-280.532,76.7175,277.256,-240.634,125.601,181.435,-265.969,171.183,44.7766,-192.19,231.516,60.5727,-173.961,-15.3424,22.6951,-261.771,16.8263,31.3081
