Trajectories
100
,,Patient T:T10,,,Patient T:SACR,,,Patient T:NAVE,,,Patient T:XYPH,,,Patient T:STRN,,,Patient T:LASIS,,,Patient T:RASIS,,,Patient T:LPSIS,,,Patient T:RPSIS,,,Patient T:LGTRO,,,Patient T:FLTHI,,,Patient T:LLEK,,,Patient T:LATI,,,Patient T:LLM,,,Patient T:LHEE,,,Patient T:LTOE,,,Patient T:LMT5,,,Patient T:RGTRO,,,Patient T:FRTHI,,,Patient T:RLEK,,,Patient T:RATI,,,Patient T:RLM,,,Patient T:RHEE,,,Patient T:RTOE,,,Patient T:RMT5,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,8.8932,-50.1102,1244.81,-3.21828,-31.5861,1150.11,49.9804,-351.303,1039.54,53.2788,-369.544,1212.54,49.8983,-390.146,1310.2,214.456,-222.218,1076.96,-127.797,-228.203,1030.15,101.487,-20.9859,1128.51,-76.9922,-28.881,1095.17,204.46,-206.901,1042.47,246.805,-286.233,807.966,238.26,-338.284,555.988,235.577,-329.302,373.378,181.436,-297.136,76.4755,126.681,-220.818,25.5335,128.796,-516.486,26.437,203.483,-481.119,34.7621,-113.07,-211.057,966.578,-162.585,-35.6555,347.252,-215.589,150.858,180.709,-183.141,195.924,99.0271,-212.845,211.686,60.7395,-145.524,277.079,70.9889,-122.797,27.9321,20.669,-208.674,60.1609,33.1672
2,0,10.7148,-52.2387,1245.87,-0.130144,-34.222,1149.89,50.7621,-353.036,1040.54,55.8208,-372.389,1213.9,52.7343,-392.164,1311.73,215.412,-228.408,1076.26,-127.123,-230.08,1031.99,103.419,-23.7199,1129.18,-75.1238,-31.2989,1095.83,206.936,-211.509,1040.46,248.245,-286.992,806.068,241.615,-338.278,553.72,235.581,-328.924,372.075,178.48,-293.605,78.5631,126.375,-215.415,25.8758,128.275,-511.297,26.0618,203.527,-475.748,34.3938,-111.973,-213.145,968.228,-157.775,-38.1395,344.36,-213.593,153.125,183.59,-181.019,199.176,102.162,-210.894,216.027,64.688,-143.259,281.05,76.1777,-121.834,33.4701,20.303,-207.555,65.0678,34.2024
3,0,12.6645,-53.9383,1247.76,1.84003,-36.7012,1150.76,51.256,-354.564,1041.98,58.2489,-375.656,1215.41,55.3701,-393.915,1313.74,216.547,-231.776,1076.38,-125.781,-232.256,1033.54,105.483,-26.5379,1130.08,-71.9187,-34.1444,1095.54,209.103,-214.372,1039.53,250.191,-287.869,804.476,243.744,-336.796,551.527,236.167,-327.803,370.503,177.805,-288.517,78.7042,126.301,-210.005,25.8779,128.797,-506.11,25.7621,203.49,-470.836,34.2693,-110.857,-215.27,969.87,-153.083,-38.2001,344.232,-211.623,154.977,186.538,-178.963,202.783,107.573,-209.461,220.295,69.2645,-141.699,284.806,81.8685,-122.005,38.4214,20.1803,-206.752,70.1264,35.2066
4,0,15.2298,-55.8398,1249.41,2.73697,-39.022,1153.61,51.9301,-355.988,1043.89,60.2758,-378.252,1217.74,57.6375,-395.882,1315.89,218.039,-234.439,1076.92,-124.108,-234.299,1035.58,107.378,-29.0737,1131.48,-70.2975,-37.1702,1096.92,210.924,-216.268,1039.45,250.638,-287.108,802.927,244.835,-334.207,549.765,236.747,-325.329,369.134,177.469,-282.785,78.7126,126.218,-204.592,25.9828,128.561,-500.774,25.3662,203.439,-465.304,34.2381,-109.54,-217.532,971.538,-151.118,-38.5007,344.849,-210.258,156.605,189.679,-177.982,205.911,111.172,-208.55,223.998,73.5636,-140.517,288.415,87.6878,-121.315,43.531,20.0801,-206.105,74.8362,36.8371
5,0,17.2792,-57.9083,1252.23,4.33869,-41.1788,1155.7,52.8966,-357.484,1045.91,62.0921,-380.795,1220.15,59.4487,-397.926,1318.13,219.855,-236.487,1077.92,-122.269,-236.104,1037.89,108.905,-31.1002,1133.37,-68.8713,-39.6161,1099.06,212.601,-217.871,1040.37,250.932,-286.317,802.535,245.284,-330.628,548.717,237.318,-321.54,368.295,177.31,-277.574,78.9894,126.908,-198.705,26.7071,128.509,-495.19,24.9735,203.302,-459.67,34.3796,-107.965,-219.858,973.376,-152.795,-39.2096,345.578,-208.531,157.707,192.872,-176.895,209.278,116.345,-207.986,227.598,78.8275,-139.691,291.805,93.3999,-121.305,48.8355,20.1799,-205.545,78.9436,37.9998
6,0,19.2797,-59.5764,1254.66,5.89695,-43.5212,1157.87,54.5593,-359.236,1047.95,63.7727,-383.276,1222.85,61.0506,-399.689,1320.5,222.68,-237.115,1079.05,-120.249,-238.015,1040.04,110.5,-32.9598,1135.84,-67.7907,-42.0796,1101.3,214.714,-219.099,1041.58,251.245,-284.662,802.501,244.979,-326.105,547.982,237.382,-317.014,367.88,177.052,-272.094,79.1323,126.683,-193.152,26.7656,128.35,-489.214,24.9955,203.162,-454.506,34.5433,-106.155,-221.974,975.251,-153.224,-39.2416,347.818,-207.538,158.704,196.359,-176.25,211.59,121.112,-207.593,231.052,84.0769,-139.531,294.948,99.753,-120.958,53.5145,20.1716,-205.53,84.1853,39.8736
7,0,21.2061,-61.9481,1255.72,7.29094,-45.0224,1159.7,56.597,-360.971,1050.11,65.2363,-385.848,1225.56,62.4917,-401.579,1322.81,224.61,-237.744,1080.73,-118.266,-239.944,1042.27,111.809,-34.6234,1138.21,-68.159,-43.3591,1105.41,217.199,-220.28,1042.88,252.104,-282.762,802.803,244.182,-321.363,547.546,236.889,-311.222,367.887,177.08,-266.174,79.2511,126.903,-186.84,26.8621,128.383,-483.071,24.7496,203.044,-448.251,34.7505,-104.211,-223.938,977.334,-151.383,-40.5605,348.592,-206.153,158.881,199.977,-175.945,213.38,125.944,-207.349,233.928,88.943,-139.435,297.654,106.448,-120.816,58.499,20.2559,-205.096,88.3034,41.6752
8,0,22.863,-62.9495,1256.42,9.15617,-47.3041,1161.93,58.9706,-362.678,1052.32,66.3629,-388.6,1228.06,63.8249,-403.451,1325.08,226.506,-238.394,1083.2,-116.232,-241.681,1044.59,112.712,-36.2049,1140.47,-67.0104,-45.8656,1107.8,219.295,-221.335,1044.97,252.869,-281.366,803.233,242.68,-316.525,547.504,235.579,-304.741,368.6,177.333,-260.789,79.4674,127.074,-180.806,27.305,128.382,-477.426,25.1538,203.241,-442.346,34.9623,-102.271,-225.701,979.588,-149.508,-42.2427,349.4,-204.93,159.212,203.851,-175.549,215.18,130.849,-207.191,236.337,94.3869,-139.355,299.864,113.197,-120.813,63.2614,20.4369,-204.631,91.3189,43.1914
9,0,24.1864,-64.0444,1257.65,10.545,-48.9217,1164.56,61.2918,-364.112,1054.52,66.8781,-390.836,1230.37,64.7673,-405.031,1327.28,228.268,-238.9,1085.88,-114.322,-243.288,1046.88,113.652,-37.416,1142.92,-66.2865,-47.6972,1110.37,221.547,-221.445,1046.85,253.813,-279.758,803.779,240.504,-310.973,547.55,234.181,-298.611,369.255,177.158,-254.914,79.8516,127.396,-174.647,27.5238,128.376,-470.795,24.6795,203.758,-436.374,34.8223,-100.394,-227.149,981.983,-147.625,-44.6906,350.03,-203.492,158.163,207.229,-175.112,216.125,135.95,-207.34,238.145,100.627,-139.479,301.696,120.733,-120.73,67.9611,20.6754,-204.656,95.5092,44.9581
